Unique intersection points:
(-6.667, -179.000)
(-2.923, -89.154)
(-2.000, -1.000)
(-0.167, -81.500)
(0.326, -53.413)
(0.750, -1.000)
(0.870, 1.870)
(1.000, 5.000)
(1.143, 8.429)
(1.246, -1.000)
(1.300, 12.200)
(1.304, 2.304)
(1.364, 5.727)
(1.426, 9.278)
(1.474, 16.368)
(1.491, 12.962)
(1.558, 16.788)
(1.606, 19.545)
(5.091, -1.000)
(5.200, -1.000)
(5.500, 3.500)
(5.714, 6.714)
(5.800, 6.800)
(6.308, 15.615)
(6.667, 16.333)
(7.000, 26.000)
(7.750, 28.250)
(7.818, 38.273)
(8.800, 53.000)
(9.143, 43.571)
(11.000, 64.000)
